Command,Description,Syntax,Parameters,Link,Category,Tags
&,Start a new process in the background," bg [<i>job_id</i>...]
",Not Available,https://ss64.com/bash/bg.html,System Administration,Process management
alias,Create an alias •," alias [-p] [<i>name</i>[=<i>value</i>] ...]
 unalias [-a] [<i>name</i> ... ]
"," -p Print the current values
 -a Remove All aliases</pre>
",https://ss64.com/bash/alias.html,System Administration,Command Obfuscation
apropos,Search Help manual pages (man -k)," apropos <i>keyword</i>
 apropos [-dalv?V] [-e|-r|-w] [-s <i>list</i>] [-m <i>system</i>[,...]] [-M <i>path</i>] [-L <i>locale</i>] [-C <i>file</i>] <i>keyword</i> ...
",Not Available,https://ss64.com/bash/apropos.html,System Administration,
apt,Search for and install software packages (Debian/Ubuntu)," apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>list</b> <i>pkg</i> {=<i>pkg_version_number</i> | / <i>target_release</i>}]... 
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>search</b> <i>pkg</i> {=<i>pkg_version_number</i> | / <i>target_release</i>}]... 
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>show</b> <i>pkg</i> {=<i>pkg_version_number</i> | / <i>target_release</i>}]... 
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>update</b> <i>pkg</i> {=<i>pkg_version_number</i> | / <i>target_release</i>}]... 
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>install</b> <i>pkg</i> {=<i>pkg_version_number</i> | / <i>target_release</i>}]... 
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>remove</b> <i>pkg</i>...
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>upgrade</b>
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>full-upgrade</b>
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 <b>edit-sources</b>
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 {-v | <b>--version</b>}
 apt [-h] [-o=<i>config_string</i>] [-c=<i>config_file</i>] [-t=<i>target_release</i>] [ -a=<i>architecture</i>]
 {-h | <b>--help</b>}
",Not Available,https://ss64.com/bash/apt.html,System Administration,
apt-get,Search for and install software packages (Debian/Ubuntu)," apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>update</b> 
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>upgrade</b>
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>dselect-upgrade</b>
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>dist-upgrade</b> 
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>install</b> <i>pkg</i> [ { =<i>pkg_version_number</i> | /<i>target_release_name</i> | /<i>target_release_codename</i> } ] ...
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>remove</b> <i>pkg</i>... 
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>purge</b> <i>pkg</i>... 
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>source</b> <i>pkg</i> [ { =<i>pkg_version_number</i> | /<i>target_release_name</i> | /<i>target_release_codename</i> } ] ...
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>build-dep</b> <i>pkg</i>... 
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>check</b>
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>clean</b>
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>autoclean</b>
 apt-get [-sqdyfmubV] [-o= <i>config_string</i> ] [-c= <i>config_file</i> ]
 [-t= <i>target</i>] <b>autoremove</b>
 apt-get {-v | --version} 
 apt-get {-h | --help}}
 Where <i>Target</i> = {<i>target_release_name</i> | <i>target_release_number_expression</i> | <i>target_release_codename</i>}
",Not Available,https://ss64.com/bash/apt-get.html,System Administration,
aptitude,Search for and install software packages (Debian/Ubuntu)," aptitude [<i>options</i>...] autoclean
 aptitude [<i>options</i>...] clean
 aptitude [<i>options</i>...] forget-new
 aptitude [<i>options</i>...] keep-all
 aptitude [<i>options</i>...] update
 aptitude [<i>options</i>...] safe-upgrade
 aptitude [<i>options</i>...] changelog <i>packages</i>...
 aptitude [<i>options</i>...] full-upgrade <i>packages</i>...
 aptitude [<i>options</i>...] forbid-version <i>packages</i>...
 aptitude [<i>options</i>...] hold <i>packages</i>...
 aptitude [<i>options</i>...] install <i>packages</i>...
 aptitude [<i>options</i>...] markauto <i>packages</i>...
 aptitude [<i>options</i>...] purge <i>packages</i>...
 aptitude [<i>options</i>...] reinstall <i>packages</i>...
 aptitude [<i>options</i>...] remove <i>packages</i>...
 aptitude [<i>options</i>...] show <i>packages</i>...
 aptitude [<i>options</i>...] unhold <i>packages</i>...
 aptitude [<i>options</i>...] unmarkauto <i>packages</i>...
 aptitude [<i>options</i>...] build-dep <i>packages</i>...
 aptitude [<i>options</i>...] build-depends <i>packages</i>...
 aptitude extract-cache-subset <i>output-directory packages</i>...
 aptitude [<i>options</i>...] search <i>patterns</i>...
 aptitude [<i>options</i>...] add-user-tag <i>tag</i> <i>packages</i>...
 aptitude [<i>options</i>...] remove-user-tag <i>tag</i> <i>packages</i>...
 aptitude [<i>options</i>...] {why | why-not} [<i>patterns</i>...] package
 aptitude [-S <i>fname</i>] [-u | -i]
 aptitude help
",Not Available,https://ss64.com/bash/aptitude.html,,
aspell,Spell Checker ," aspell check [<i>options</i>] <i>filename</i>
"," -mode=<i>mode</i>
 The mode to use when checking files.
 The available modes are none, <u>url</u>, email, sgml, tex, texinfo, nroff and any
 others available on your system. <a href=""http://aspell.net/man-html/The-Options.html#Filter-Options"">more..</a>
 –dont-backup
 Don't create a backup file. Normally, if there are any corrections the Aspell utility
 will append .bak to the existing file name and then create a new file with corrections
 made during spell checking.
 -sug-mode=<i>mode</i>
 The suggestion <i>mode</i> to use where mode is one of ultra, fast, normal, or bad-spellers.
 For more information on these modes see Notes on the Different Suggestion Modes.
 -lang=<i>name</i>
 -l <i>name</i>
 The language the document is written in. The default depends on the current locale.
 -encoding=<i>name</i>
 Encoding the document is expected to be in. The default depends on the current locale.
 -master=<i>name</i>
 -d <i>name</i>
 The main dictionary to use.
 -keymapping=<i>name</i>
 The keymapping to use. Either aspell for the default mapping or ispell to use the same
 mapping that the Ispell utility uses.</pre>
",https://ss64.com/bash/aspell.html,System Administration,Text editing
at,Schedule a command to run once at a particular time," at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] <i>TIME</i> # Execute commands at a specified time. 
 at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] -t <i>time_arg</i> # Execute commands at a specified time. 
 at -c <i>job</i> [<i>job</i>...]
 atq [-V] [-q <i>queue</i>] # List the user's pending jobs, or for the superuser; list all jobs.
 atrm [-V] <i>job</i> [<i>job</i>...] # Delete jobs, identified by their job number.
 batch # Execute commands when system load levels permit.
"," -c <a href=""cat.html"">Cat</a> the jobs listed on the command line to standard output.
 -d Is an alias for atrm.
 -f <i>file</i>
 Read the job from <i>file</i> rather than standard input.
 -l Is an alias for atq.
 -m Send mail to the user when the job has completed even if there was no output.
 -q <i>queue
 </i> use the specified queue.
 A queue designation consists of a single letter; valid queue designations range from a to z.
 and A to Z. The a queue is the default for at and the b queue for batch.
 Queues with higher letters run with increased niceness.
 The special queue ""="" is reserved for jobs which are currently running. If a job is submitted to a queue
 designated with an uppercase letter, the job is treated as if it were submitted to batch at the time of
 the job. Once the time is reached, the batch processing rules with respect to load average apply.
 If atq is given a specific queue, it will only show jobs pending in that queue.
 -t <i>time_arg</i>
 Submit the job to be run at the time specified by the <i>time_arg</i> option argument, which must have
 the same format as specified for the <a href=""touch.html"">touch</a> utility's -t time option argument ([[<i>CC</i>]<i>YY</i>]<i>MMDDhhmm</i>). 
 -v Show the time the job will be executed before reading the job. 
 Times displayed will be in the format ""Thu Feb 20 14:50:00 1997"".
 -V Print the version number to standard error.</pre>
",https://ss64.com/bash/at.html,System Administration,Process management
atq,"List the user's pending jobs, or for the superuser; list all jobs."," at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] <i>TIME</i> # Execute commands at a specified time. 
 at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] -t <i>time_arg</i> # Execute commands at a specified time. 
 at -c <i>job</i> [<i>job</i>...]
 atq [-V] [-q <i>queue</i>] # List the user's pending jobs, or for the superuser; list all jobs.
 atrm [-V] <i>job</i> [<i>job</i>...] # Delete jobs, identified by their job number.
 batch # Execute commands when system load levels permit.
"," -c <a href=""cat.html"">Cat</a> the jobs listed on the command line to standard output.
 -d Is an alias for atrm.
 -f <i>file</i>
 Read the job from <i>file</i> rather than standard input.
 -l Is an alias for atq.
 -m Send mail to the user when the job has completed even if there was no output.
 -q <i>queue
 </i> use the specified queue.
 A queue designation consists of a single letter; valid queue designations range from a to z.
 and A to Z. The a queue is the default for at and the b queue for batch.
 Queues with higher letters run with increased niceness.
 The special queue ""="" is reserved for jobs which are currently running. If a job is submitted to a queue
 designated with an uppercase letter, the job is treated as if it were submitted to batch at the time of
 the job. Once the time is reached, the batch processing rules with respect to load average apply.
 If atq is given a specific queue, it will only show jobs pending in that queue.
 -t <i>time_arg</i>
 Submit the job to be run at the time specified by the <i>time_arg</i> option argument, which must have
 the same format as specified for the <a href=""touch.html"">touch</a> utility's -t time option argument ([[<i>CC</i>]<i>YY</i>]<i>MMDDhhmm</i>). 
 -v Show the time the job will be executed before reading the job. 
 Times displayed will be in the format ""Thu Feb 20 14:50:00 1997"".
 -V Print the version number to standard error.</pre>
",https://ss64.com/bash/at.html,System Administration,Process management
atrm,"Delete jobs, identified by their job number."," at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] <i>TIME</i> # Execute commands at a specified time. 
 at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] -t <i>time_arg</i> # Execute commands at a specified time. 
 at -c <i>job</i> [<i>job</i>...]
 atq [-V] [-q <i>queue</i>] # List the user's pending jobs, or for the superuser; list all jobs.
 atrm [-V] <i>job</i> [<i>job</i>...] # Delete jobs, identified by their job number.
 batch # Execute commands when system load levels permit.
"," -c <a href=""cat.html"">Cat</a> the jobs listed on the command line to standard output.
 -d Is an alias for atrm.
 -f <i>file</i>
 Read the job from <i>file</i> rather than standard input.
 -l Is an alias for atq.
 -m Send mail to the user when the job has completed even if there was no output.
 -q <i>queue
 </i> use the specified queue.
 A queue designation consists of a single letter; valid queue designations range from a to z.
 and A to Z. The a queue is the default for at and the b queue for batch.
 Queues with higher letters run with increased niceness.
 The special queue ""="" is reserved for jobs which are currently running. If a job is submitted to a queue
 designated with an uppercase letter, the job is treated as if it were submitted to batch at the time of
 the job. Once the time is reached, the batch processing rules with respect to load average apply.
 If atq is given a specific queue, it will only show jobs pending in that queue.
 -t <i>time_arg</i>
 Submit the job to be run at the time specified by the <i>time_arg</i> option argument, which must have
 the same format as specified for the <a href=""touch.html"">touch</a> utility's -t time option argument ([[<i>CC</i>]<i>YY</i>]<i>MMDDhhmm</i>). 
 -v Show the time the job will be executed before reading the job. 
 Times displayed will be in the format ""Thu Feb 20 14:50:00 1997"".
 -V Print the version number to standard error.</pre>
",https://ss64.com/bash/at.html,System Administration,Process management
